"duplicatedProperties","specificity","specificityIdAvg","selectorsByAttribute","specificityIdTotal","colors","complexSelectorsByAttribute","universalSelectors","specificityTagTotal","expressions","specificityClassTotal","oldPropertyPrefixes","specificity_category","selectorsByTag","mediaQueries","rules","multiClassesSelectors","selectorsByClass","specificityTagAvg","specificityClassAvg","selectorsByPseudo","qualifiedSelectors","declarations","selectors","length","importants","oldIEFixes","complexSelectors","selectorsById","Defected"
0,1,0,0,0,2,0,0,2,0,0,0,"low",2,0,1,0,0,1,0,0,0,6,2,135,0,0,0,0,False
0,1,0,0,0,0,0,0,1,0,0,0,"low",1,0,1,0,0,1,0,0,0,1,1,22,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",0,0,1,0,1,1,1,1,0,3,1,52,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,5,1,78,0,0,0,0,False
0,10,0,0,0,1,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,11,1,193,0,0,0,0,True
0,11,0,0,0,1,0,0,1,0,1,0,"medium",0,0,1,0,1,1,1,1,0,10,1,174,0,0,0,0,True
1,20,0,0,0,1,0,0,0,0,2,2,"medium",0,0,1,0,2,0,2,0,0,12,1,304,0,0,0,0,True
0,1,0,0,0,0,0,0,1,0,0,0,"low",1,0,1,0,0,1,0,0,0,3,1,54,0,0,0,0,False
0,1,0,0,0,1,0,0,1,0,0,0,"low",1,0,1,0,0,1,0,0,0,4,1,77,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,1,1,45,0,0,0,0,False
0,1,0,0,0,1,0,0,1,0,0,0,"low",1,0,1,0,0,1,0,0,0,4,1,85,0,0,0,0,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,2,1,40,0,0,0,0,False
0,10,0,0,0,1,0,0,0,0,1,2,"medium",0,0,1,0,1,0,1,0,0,14,1,296,0,0,0,0,True
0,20,0,0,0,1,0,0,0,0,2,2,"medium",0,0,1,0,2,0,2,0,0,13,1,305,0,0,0,0,True
0,21,0,0,0,0,0,0,1,0,2,0,"medium",1,0,1,0,2,1,2,0,0,5,1,113,0,0,0,0,False
0,30,0,0,0,0,0,0,0,0,3,0,"medium",0,0,1,0,3,0,3,0,0,2,1,70,0,0,0,0,False
0,21,0,0,0,2,0,0,1,0,2,0,"medium",1,0,1,0,2,1,2,0,0,9,1,188,0,0,0,0,False
0,30,0,0,0,2,0,0,0,0,3,0,"medium",0,0,1,1,2,0,3,0,0,2,1,88,0,0,0,0,False
0,30,0,0,0,0,0,0,0,0,6,0,"medium",0,0,1,2,4,0,3,0,0,1,2,96,0,0,0,0,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,2,1,47,0,0,0,0,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,1,1,32,0,0,0,0,False
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,1,0,1,1,40,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",0,0,1,0,1,1,1,1,0,3,1,53,0,0,0,0,False
0,10,0,0,0,1,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,6,1,126,0,0,0,0,False
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,1,0,1,1,40,0,0,0,0,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,2,1,47,0,0,0,0,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,3,1,61,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,62,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,64,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,64,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,64,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,64,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,64,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,64,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,3,1,66,0,0,0,0,True
0,10,0,0,0,1,0,0,0,0,1,2,"medium",0,0,1,0,1,0,1,0,0,10,1,249,0,0,0,0,True
0,20,0,0,0,3,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,2,1,116,0,0,0,0,True
0,20,0,0,0,3,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,2,1,116,0,0,0,0,True
0,20,0,0,0,2,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,2,1,49,0,0,0,0,True
0,20,0,0,0,2,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,2,1,50,0,0,0,0,True
0,20,0,0,0,2,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,2,1,50,0,0,0,0,True
0,20,0,0,0,2,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,2,1,50,0,0,0,0,True
0,20,0,0,0,4,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,4,1,158,0,0,0,0,True
0,20,0,0,0,4,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,4,1,159,0,0,0,0,True
0,20,0,0,0,4,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,4,1,158,0,0,0,0,True
0,20,0,0,0,4,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,4,1,160,0,0,0,0,True
0,20,0,0,0,4,0,0,0,0,2,0,"medium",0,0,1,1,1,0,2,0,0,4,1,160,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,2,"medium",0,0,1,0,1,0,1,0,0,4,1,157,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,2,"medium",0,0,1,0,1,0,1,0,0,5,1,165,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,1,1,31,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,1,1,37,0,0,0,0,False
