"duplicatedProperties","specificity","specificityIdAvg","selectorsByAttribute","specificityIdTotal","colors","complexSelectorsByAttribute","universalSelectors","specificityTagTotal","expressions","specificityClassTotal","oldPropertyPrefixes","specificity_category","selectorsByTag","mediaQueries","rules","multiClassesSelectors","selectorsByClass","specificityTagAvg","specificityClassAvg","selectorsByPseudo","qualifiedSelectors","declarations","selectors","length","importants","oldIEFixes","complexSelectors","selectorsById","Defected"
0,10,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,0.5,0.5,0,0,5,2,132,0,0,0,0,True
0,1,0,0,0,0,0,0,1,0,0,0,"low",1,0,1,0,0,1,0,0,0,1,1,20,0,0,0,0,False
0,1,0,0,0,0,0,0,1,0,0,0,"low",1,0,1,0,0,1,0,0,0,2,1,29,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,1,1,24,0,0,0,0,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,4,1,80,0,0,0,1,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,5,1,82,0,0,0,1,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,3,1,62,0,0,0,1,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,2,1,46,0,0,0,1,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,4,1,71,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,2,0,1,2,60,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,4,1,66,0,0,0,0,True
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,6,1,124,0,0,0,0,False
0,21,0,0,0,0,0,0,1,0,2,0,"medium",1,0,1,0,1,1,2,1,1,1,1,52,0,0,0,0,False
0,21,0,0,0,0,0,0,1,0,2,0,"medium",1,0,1,0,1,1,2,1,1,3,1,82,0,0,0,0,False
0,31,0,0,0,0,0,0,2,0,5,0,"medium",2,0,1,2,2,1,2.5,1,2,2,2,102,0,0,0,0,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,1,1,37,0,0,0,1,False
0,102,1,0,1,0,0,0,2,0,0,0,"high",2,0,1,0,0,2,0,0,1,5,1,95,0,0,0,1,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,1,1,40,0,0,0,1,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,3,1,57,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,2,1,37,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,1,1,27,0,0,0,0,False
0,101,1,0,1,0,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,6,1,98,0,0,0,1,False
0,112,1,0,1,0,0,0,2,0,1,0,"high",2,0,1,0,1,2,1,0,2,1,1,57,0,0,0,1,False
0,101,1,0,1,2,0,0,1,0,0,0,"high",1,0,1,0,0,1,0,0,1,9,1,362,0,0,0,1,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,1,0,1,1,1,0,1,13,1,271,0,0,0,0,False
0,21,0,0,0,0,0,0,1,0,2,0,"medium",1,0,1,0,1,1,2,1,1,1,1,46,0,0,0,0,False
0,31,0,0,0,0,0,0,2,0,5,0,"medium",2,0,1,2,2,1,2.5,1,2,4,2,114,0,0,0,0,True
0,22,0,0,0,1,0,0,2,0,2,0,"medium",2,0,1,0,2,2,2,0,2,6,1,110,0,0,0,0,False
0,10,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,0,2,0,1,0,0,5,2,83,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,4,0,"medium",0,0,1,2,2,0,2,0,0,1,2,50,0,0,0,0,True
