"duplicatedProperties","specificity","specificityIdAvg","selectorsByAttribute","specificityIdTotal","colors","complexSelectorsByAttribute","universalSelectors","specificityTagTotal","expressions","specificityClassTotal","oldPropertyPrefixes","specificity_category","selectorsByTag","mediaQueries","rules","multiClassesSelectors","selectorsByClass","specificityTagAvg","specificityClassAvg","selectorsByPseudo","qualifiedSelectors","declarations","selectors","length","importants","oldIEFixes","complexSelectors","selectorsById","Defected"
0,10,0,0,0,3,0,0,0,0,6,1,"medium",0,0,1,0,6,0,1,0,0,3,6,269,0,0,0,0,False
0,20,0,0,0,1,0,0,0,0,24,1,"medium",0,0,1,6,12,0,2,6,0,2,12,331,0,0,0,0,False
0,20,0,0,0,0,0,0,0,0,4,0,"medium",0,0,1,1,2,0,2,1,0,1,2,49,0,0,0,0,False
2,10,0,0,0,5,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,10,1,570,0,2,0,0,False
0,20,0,0,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,2,0,2,2,94,0,0,0,0,False
0,20,0,0,0,2,0,0,0,0,4,0,"medium",0,0,1,1,2,0,2,1,0,2,2,89,0,0,0,0,False
0,20,0,1,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,1,0,2,2,95,0,0,0,0,True
1,10,0,0,0,5,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,8,1,539,0,2,0,0,True
0,20,0,0,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,2,0,2,2,94,0,0,0,0,True
0,20,0,0,0,2,0,0,0,0,4,0,"medium",0,0,1,1,2,0,2,1,0,2,2,89,0,0,0,0,True
0,20,0,1,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,1,0,2,2,95,0,0,0,0,True
1,10,0,0,0,5,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,8,1,539,0,2,0,0,False
0,20,0,0,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,2,0,2,2,94,0,0,0,0,False
0,20,0,0,0,2,0,0,0,0,4,0,"medium",0,0,1,1,2,0,2,1,0,2,2,89,0,0,0,0,False
0,20,0,1,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,1,0,2,2,95,0,0,0,0,True
1,10,0,0,0,5,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,8,1,536,0,2,0,0,False
0,20,0,0,0,1,0,0,0,0,4,0,"medium",0,0,1,0,2,0,2,2,0,2,2,88,0,0,0,0,False
0,20,0,0,0,2,0,0,0,0,4,0,"medium",0,0,1,1,2,0,2,1,0,2,2,83,0,0,0,0,False
