Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/cron.php",0,0,0,0,0,0,0,0,0,,0,11,0,0,11,2,0,0,2,4,0,4,5,0,0,5,1,3,0,0,0,3,0,3,1,1,1,1,1,1,0,1.25,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/actions.inc",4,4,4,1,21,1,18,2,0,,9,376,0,0,376,21,0,0,21,164,0,164,192,0,0,192,1,111,11,0,11,100,0,100,1,1,1,1,12,12,3,1.17,36,36,37,11
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/batch.inc",4,4,5,1,30,3,20,5,0,,10,354,0,0,354,48,0,0,48,208,0,208,98,0,0,98,1,141,10,0,10,131,0,131,1,1,1,1,12,12,3,0.47,44,42,57,12
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/bootstrap.inc",3,3,4,1,18,1,13,2,0,,36,1209,0,0,1209,128,0,0,128,534,0,534,557,0,0,557,1,367,56,0,56,311,0,311,1,1,1,1,16,14,3,1.04,137,130,162,50
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/cache-install.inc",1,1,1,1,3,0,3,0,0,,3,24,0,0,24,4,0,0,4,10,0,10,10,0,0,10,1,6,3,0,3,3,0,3,1,1,1,1,1,1,0,1.00,3,3,3,3
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/cache.inc",6,6,7,2,35,1,26,7,0,,3,183,0,0,183,9,0,0,9,80,0,80,94,0,0,94,1,49,5,0,5,44,0,44,1,1,1,1,8,8,4,1.18,18,18,22,6
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/common.inc",4,4,5,1,23,2,18,3,0,,93,3734,0,0,3734,311,0,0,311,1728,0,1728,1703,0,0,1703,2,995,119,0,119,876,0,876,2,2,2,1,27,26,8,0.99,403,384,487,163
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/database.inc",4,3,4,2,19,1,16,1,0,,14,622,0,0,622,43,0,0,43,239,0,239,342,0,0,342,1,146,20,0,20,126,0,126,1,1,1,1,10,10,3,1.43,61,50,66,35
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/database.mysql-common.inc",2,2,2,1,11,1,9,0,0,,21,533,0,0,533,52,0,0,52,204,0,204,278,0,0,278,1,119,21,0,21,98,0,98,1,1,1,1,9,9,2,1.36,50,50,54,21
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/includes/database.mysql.inc",1,1,2,1,9,0,7,1,0,,18,354,0,0,354,38,0,0,38,142,0,142,176,0,0,176,1,105,23,0,23,82,0,82,1,1,1,1,6,6,1,1.24,34,34,36,18
