"duplicatedProperties","specificity","specificityIdAvg","selectorsByAttribute","specificityIdTotal","colors","complexSelectorsByAttribute","universalSelectors","specificityTagTotal","expressions","specificityClassTotal","oldPropertyPrefixes","specificity_category","selectorsByTag","mediaQueries","rules","multiClassesSelectors","selectorsByClass","specificityTagAvg","specificityClassAvg","selectorsByPseudo","qualifiedSelectors","declarations","selectors","length","importants","oldIEFixes","complexSelectors","selectorsById","Defected"
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,5,1,131,0,0,0,0,True
0,20,0,1,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,0,0,1,1,48,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,1,0,1,0,1,0,0,2,1,61,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,2,0,"medium",0,0,1,0,2,0,2,0,0,9,1,4474,0,0,0,0,True
0,20,0,0,0,0,0,0,0,0,5,0,"medium",0,0,1,0,5,0,1.67,0,0,1,3,125,0,0,0,0,True
0,30,0,6,0,0,0,0,0,0,16,0,"medium",0,0,1,0,10,0,2.67,0,0,1,6,322,0,0,0,0,True
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,1,1,71,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,1,0,3,0,0,1,1,84,0,0,0,0,False
0,40,0,1,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,4,0,0,1,1,84,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,2,1,83,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,1,0,3,0,0,1,1,82,0,0,0,0,False
0,40,0,1,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,4,0,0,1,1,83,0,0,0,0,False
0,20,0,1,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,0,0,1,1,64,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,2,1,75,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,1,0,3,0,0,1,1,79,0,0,0,0,False
0,40,0,1,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,4,0,0,3,1,103,0,0,0,0,False
0,20,0,1,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,0,0,1,1,66,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,3,1,94,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,1,0,3,0,0,1,1,84,0,0,0,0,False
0,40,0,1,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,4,0,0,1,1,83,0,0,0,0,False
0,20,0,1,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,0,0,1,1,65,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,1,1,74,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,1,1,68,0,0,0,0,False
0,40,0,1,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,4,0,0,2,1,91,0,0,0,0,False
0,40,0,1,0,0,0,0,0,0,4,0,"medium",0,0,1,0,2,0,4,0,0,2,1,91,0,0,0,0,False
0,20,0,1,0,0,0,0,0,0,2,0,"medium",0,0,1,0,1,0,2,0,0,1,1,66,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,1,1,75,0,0,0,0,False
0,30,0,1,0,0,0,0,0,0,3,0,"medium",0,0,1,0,2,0,3,0,0,1,1,67,0,0,0,0,False
