"Name","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclFile","CountDeclFunction","CountLine","CountLineBlank","CountLineCode","CountLineComment","CountPath","CountStmt","CountStmtDecl","CountStmtExe","Cyclomatic","CyclomaticModified","CyclomaticStrict","Essential","MaxCyclomatic","MaxCyclomaticModified","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","Has_Session","Session_Reads","Session_Writes","Cookies","Header_Access","Has_Param","Param_Reads","Context_Switches","DB_Query","DB_Query_Binary","Has_HTML","total_tags","unique_tags","total_attrs","unique_attrs","avg_attrs","max_depth","total_depth","avg_depth","total_comment","total_text","forms","inputs","anchors","frames","scripts","in_page_scripts","external_scripts","css_included","style_tags","inline_css","inline_css_lines","Defected"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_bans.php","0","0","0","0","0","0","0","0","0","","0","569","84","462","25","62636","258","0","258","79","79","101","1","79","79","7","0.05","0","0","0","0","False","0","0","0","0","True","35","77","10","True","True","168","20","192","14","0.875","10","970","0.1731958762886598","0","269","3","18","4","0","0","0","0","0","0","0","0","yes"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_categories.php","0","0","0","0","0","0","0","0","0","","0","266","51","199","19","1764","102","0","102","22","22","24","1","22","22","5","0.10","0","0","0","0","False","0","0","0","0","True","8","35","4","True","True","71","16","76","13","0.9342105263157895","10","372","0.19086021505376344","0","112","4","8","1","0","0","0","0","0","0","0","0","yes"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_censoring.php","0","0","0","0","0","0","0","0","0","","0","168","37","118","13","66","60","0","60","13","13","13","1","13","13","4","0.11","0","0","0","0","False","0","0","0","0","True","9","15","1","True","True","36","14","40","12","0.9","11","257","0.14007782101167315","0","62","1","3","0","0","0","0","0","0","0","0","0","no"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_forums.php","0","0","0","0","0","0","0","0","0","","0","478","84","366","31","882030","224","0","224","67","67","88","1","67","67","10","0.08","0","0","0","0","False","0","0","0","0","True","25","89","8","True","True","123","19","137","15","0.8978102189781022","10","700","0.1757142857142857","0","197","4","15","3","0","0","0","0","0","0","0","0","yes"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_groups.php","0","0","0","0","0","0","0","0","0","","0","632","77","532","25","999999999","355","0","355","114","114","147","1","114","114","7","0.05","0","0","0","0","False","0","0","0","0","True","83","184","7","True","True","299","18","354","14","0.844632768361582","11","2340","0.12777777777777777","0","418","4","51","2","0","0","0","0","0","0","0","0","yes"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_index.php","0","0","0","0","0","0","0","0","0","","0","91","15","68","8","18","41","0","41","7","7","7","1","7","7","2","0.12","0","0","0","0","False","0","0","0","0","True","2","20","0","False","True","40","10","12","3","3.3333333333333335","6","181","0.22099447513812154","0","59","0","0","3","0","0","0","0","0","0","0","0","no"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_loader.php","0","0","0","0","0","0","0","0","0","","0","55","13","28","14","64","23","0","23","10","10","11","1","10","10","1","0.50","0","0","0","0","False","0","0","0","0","True","2","1","0","False","True","1","1","1","1","1.0","1","1","1.0","0","3","0","0","0","0","0","0","0","0","0","0","0","yes"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_maintenance.php","0","0","0","0","0","0","0","0","0","","0","359","66","275","19","327152","141","0","141","32","29","33","8","32","29","4","0.07","0","0","0","0","False","0","0","0","0","True","12","39","9","True","True","89","25","105","16","0.8476190476190476","12","670","0.1328358208955224","0","143","3","15","1","0","0","0","0","0","1","0","0","no"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_options.php","0","0","0","0","0","0","0","0","0","","0","875","53","809","13","999999999","572","0","572","178","178","183","1","178","178","4","0.02","0","0","0","0","False","0","0","0","0","True","74","373","0","False","True","564","18","573","13","0.9842931937172775","11","5244","0.10755148741418764","0","851","1","88","3","0","0","0","0","0","0","0","0","yes"
"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_permissions.php","0","0","0","0","0","0","0","0","0","","0","191","17","164","10","23068672","116","0","116","27","27","28","1","27","27","3","0.06","0","0","0","0","False","0","0","0","0","True","2","73","0","False","True","136","14","142","10","0.9577464788732394","11","1211","0.11230388109000826","0","182","1","25","0","0","0","0","0","0","0","0","0","no"
