Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_bans.php",0,0,0,0,0,0,0,0,0,,0,569,0,0,569,84,0,0,84,462,0,462,25,0,0,25,62636,258,0,0,0,258,0,258,79,79,101,1,79,79,7,0.05,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_categories.php",0,0,0,0,0,0,0,0,0,,0,266,0,0,266,51,0,0,51,199,0,199,19,0,0,19,1764,102,0,0,0,102,0,102,22,22,24,1,22,22,5,0.10,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_censoring.php",0,0,0,0,0,0,0,0,0,,0,168,0,0,168,37,0,0,37,118,0,118,13,0,0,13,66,60,0,0,0,60,0,60,13,13,13,1,13,13,4,0.11,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_forums.php",0,0,0,0,0,0,0,0,0,,0,478,0,0,478,84,0,0,84,366,0,366,31,0,0,31,882030,224,0,0,0,224,0,224,67,67,88,1,67,67,10,0.08,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_groups.php",0,0,0,0,0,0,0,0,0,,0,632,0,0,632,77,0,0,77,532,0,532,25,0,0,25,999999999,355,0,0,0,355,0,355,114,114,147,1,114,114,7,0.05,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_index.php",0,0,0,0,0,0,0,0,0,,0,91,0,0,91,15,0,0,15,68,0,68,8,0,0,8,18,41,0,0,0,41,0,41,7,7,7,1,7,7,2,0.12,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_loader.php",0,0,0,0,0,0,0,0,0,,0,55,0,0,55,13,0,0,13,28,0,28,14,0,0,14,64,23,0,0,0,23,0,23,10,10,11,1,10,10,1,0.50,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_maintenance.php",0,0,0,0,0,0,0,0,0,,0,359,0,0,359,66,0,0,66,275,0,275,19,0,0,19,327152,141,0,0,0,141,0,141,32,29,33,8,32,29,4,0.07,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_options.php",0,0,0,0,0,0,0,0,0,,0,875,0,0,875,53,0,0,53,809,0,809,13,0,0,13,999999999,572,0,0,0,572,0,572,178,178,183,1,178,178,4,0.02,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_permissions.php",0,0,0,0,0,0,0,0,0,,0,191,0,0,191,17,0,0,17,164,0,164,10,0,0,10,23068672,116,0,0,0,116,0,116,27,27,28,1,27,27,3,0.06,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_reports.php",0,0,0,0,0,0,0,0,0,,0,184,0,0,184,32,0,0,32,143,0,143,9,0,0,9,90,62,0,0,0,62,0,62,19,19,19,1,19,19,2,0.06,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_statistics.php",0,0,0,0,0,0,0,0,0,,0,139,0,0,139,27,0,0,27,97,0,97,15,0,0,15,1512,66,0,0,0,66,0,66,19,19,26,1,19,19,6,0.15,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/admin_users.php",0,0,0,0,0,0,0,0,0,,0,1095,0,0,1095,165,0,0,165,876,0,876,54,0,0,54,53116840,473,0,0,0,473,0,473,121,121,154,1,121,121,8,0.06,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/cache/index.html",0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/common.js",3,3,4,1,15,2,13,0,0,,2,38,0,38,0,7,0,7,0,26,26,0,5,0,5,0,1,18,6,6,0,12,12,0,1,1,1,1,3,3,2,0.19,6,6,8,2
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/db_update.php",3,3,4,2,18,3,14,1,0,,19,1905,0,0,1905,438,0,0,438,1236,0,1236,247,0,0,247,999999999,800,27,0,27,773,0,773,173,144,200,44,173,144,9,0.20,72,72,82,42
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/delete.php",0,0,0,0,0,0,0,0,0,,0,137,0,0,137,27,0,0,27,98,0,98,12,0,0,12,160,55,0,0,0,55,0,55,15,15,22,1,15,15,2,0.12,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/edit.php",0,0,0,0,0,0,0,0,0,,0,288,0,0,288,55,0,0,55,212,0,212,21,0,0,21,54756864,129,0,0,0,129,0,129,47,47,66,1,47,47,6,0.10,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/extern.php",4,4,4,1,32,6,24,0,0,,5,552,0,0,552,107,0,0,107,346,0,346,99,0,0,99,4455792,247,9,0,9,238,0,238,58,58,76,1,58,58,6,0.29,22,22,22,5
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/footer.php",0,0,0,0,0,0,0,0,0,,0,163,0,0,163,34,0,0,34,111,0,111,18,0,0,18,7840,71,0,0,0,71,0,71,26,26,29,1,26,26,5,0.16,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/header.php",0,0,0,0,0,0,0,0,0,,0,325,0,0,325,71,0,0,71,209,0,209,49,0,0,49,345047040,128,0,0,0,128,0,128,45,45,55,1,45,45,4,0.23,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/help.php",0,0,0,0,0,0,0,0,0,,0,154,0,0,154,16,0,0,16,130,0,130,8,0,0,8,8,150,0,0,0,150,0,150,4,4,4,1,4,4,1,0.06,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/img/avatars/index.html",0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/fluxbb/fluxbb-fluxbb-1.5.3/img/index.html",0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
