"duplicatedProperties","specificity","specificityIdAvg","selectorsByAttribute","specificityIdTotal","colors","complexSelectorsByAttribute","universalSelectors","specificityTagTotal","expressions","specificityClassTotal","oldPropertyPrefixes","specificity_category","selectorsByTag","mediaQueries","multiClassesSelectors","selectorsByClass","specificityTagAvg","specificityClassAvg","selectorsByPseudo","qualifiedSelectors","declarations","selectors","length","importants","oldIEFixes","complexSelectors","selectorsById","Defected"
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,0,1,0,1,0,0,4,1,71,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,0,1,1,1,0,0,3,1,82,0,0,0,0,False
0,100,1,0,1,1,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,2,1,40,0,0,0,1,False
0,100,1,0,1,0,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,3,1,54,0,0,0,1,False
0,100,1,0,1,0,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,2,1,49,0,0,0,1,False
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,0,1,0,1,0,0,1,1,29,0,0,0,0,False
0,1,0,0,0,2,0,0,1,0,0,0,"low",1,0,0,0,1,0,0,0,3,1,64,0,0,0,0,False
0,11,0,0,0,0,0,0,1,0,1,0,"medium",1,0,0,0,1,1,1,0,1,1,26,0,0,0,0,False
1,100,1,0,1,1,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,7,1,102,0,0,0,1,True
0,100,1,0,1,2,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,9,1,145,0,0,0,1,True
0,100,1,0,1,1,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,11,1,167,0,0,0,1,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,0,1,0,1,0,0,1,1,20,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,0,1,0,1,0,0,3,1,69,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,0,"medium",0,0,0,1,0,1,0,0,2,1,53,0,0,0,0,True
0,10,0,0,0,0,0,0,0,0,1,2,"medium",0,0,0,1,0,1,0,0,6,1,126,0,1,0,0,True
0,0,0,0,0,0,0,1,0,0,0,0,"low",0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,False
0,1,0,0,0,1,0,0,1,0,0,0,"low",1,0,0,0,1,0,0,0,3,1,79,0,0,0,0,False
0,100,1,0,1,0,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,1,1,31,0,0,0,1,False
0,100,1,0,1,1,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,6,1,104,0,0,0,1,True
0,100,1,0,1,1,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,3,1,51,0,0,0,1,False
0,100,1,0,1,0,0,0,0,0,0,0,"high",0,0,0,0,0,0,0,0,4,1,59,0,0,0,1,True
