Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"$H",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$H",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$HEX",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$HEX",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$HSB",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$HSB",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$RGB",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$RGB",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$equals",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,2,1,,,0,,,,,
Function,"$family",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,2,2,2,1,,,0,,,,,
Function,"$family",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$family",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,2,2,2,1,,,0,,,,,
Function,"$n",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,2,2,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,16,16,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,333,,333,,42,,42,,258,258,,36,,36,,5,,44,44,,91,91,,5,5,7,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,10,10,,66,66,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,6,,6,,0,,0,,6,6,,0,,0,,2,,2,2,,3,3,,2,2,3,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,7,7,,17,17,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,18,,18,,0,,0,,18,18,,0,,0,,1,,26,26,,62,62,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,4,4,,8,8,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,16,,16,,0,,0,,16,16,,0,,0,,7,,2,2,,8,8,,7,7,7,1,,,6,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,25,25,,62,62,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,21,21,,43,43,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,12,12,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,38,,38,,12,,12,,24,24,,3,,3,,1,,6,6,,7,7,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,9,,9,,1,,1,,8,8,,0,,0,,3,,2,2,,4,4,,3,3,3,3,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1104,,1104,,253,,253,,765,765,,128,,128,,1,,127,127,,412,412,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,45,,45,,0,,0,,45,45,,0,,0,,72,,8,8,,31,31,,9,9,16,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,11,11,,40,40,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,13,13,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,159,159,,597,597,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,15,15,,76,76,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,28,28,,105,105,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,9,9,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,210,210,,602,602,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,74,,74,,2,,2,,72,72,,0,,0,,4,,20,20,,48,48,,6,6,7,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,59,59,,189,189,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,56,,56,,9,,9,,37,37,,10,,10,,76,,4,4,,19,19,,9,9,15,1,,,3,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,30,,30,,2,,2,,27,27,,1,,1,,1,,8,8,,12,12,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,12,12,,58,58,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,248,,248,,33,,33,,201,201,,14,,14,,1,,47,47,,92,92,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,32,,32,,1,,1,,31,31,,0,,0,,1,,12,12,,17,17,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,10,10,,17,17,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,23,,23,,1,,1,,22,22,,0,,0,,2,,8,8,,13,13,,2,2,3,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,11,11,,29,29,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,14,14,,47,47,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,104,,104,,9,,9,,93,93,,3,,3,,2,,18,18,,58,58,,2,2,5,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,11,,11,,0,,0,,11,11,,0,,0,,1,,33,33,,55,55,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,43,,43,,1,,1,,41,41,,1,,1,,2,,7,7,,22,22,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,2,2,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,122,,122,,0,,0,,122,122,,0,,0,,1,,16,16,,77,77,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,82,,82,,9,,9,,73,73,,0,,0,,1,,10,10,,33,33,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,847,,847,,132,,132,,599,599,,118,,118,,1,,81,81,,327,327,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,2,2,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,31,,31,,0,,0,,27,27,,4,,4,,1,,6,6,,9,9,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,4,4,,6,6,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,26,,26,,1,,1,,25,25,,0,,0,,2,,4,4,,18,18,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,37,37,,102,102,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,9652,,9652,,1494,,1494,,6739,6739,,1438,,1438,,196608,,822,822,,3101,3101,,24,24,31,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,5,,5,,1,,1,,4,4,,0,,0,,2,,1,1,,3,3,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,14,14,,74,74,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,506,,506,,98,,98,,391,391,,17,,17,,2,,29,29,,220,220,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,4,4,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,822,822,,1613,1613,,8,8,31,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,19,,19,,0,,0,,19,19,,0,,0,,1,,4,4,,3,3,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,52,,52,,4,,4,,48,48,,0,,0,,1,,11,11,,30,30,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,2,,2,2,,4,4,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,272,,272,,35,,35,,224,224,,19,,19,,1,,52,52,,125,125,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,26,,26,,0,,0,,26,26,,0,,0,,8,,17,17,,75,75,,4,4,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,1,1,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,65,65,,291,291,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,,2,2,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,44,44,,54,54,,3,3,7,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,593,,593,,41,,41,,527,527,,30,,30,,1,,117,117,,337,337,,1,1,3,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,107,107,,200,200,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,13,13,,27,27,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,377,,377,,84,,84,,279,279,,14,,14,,4,,77,77,,182,182,,3,3,3,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,54,54,,214,214,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,7,7,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,365,,365,,21,,21,,251,251,,103,,103,,1,,62,62,,168,168,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,5,5,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,41,,41,,7,,7,,34,34,,1,,1,,1,,11,11,,15,15,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,2,,788,788,,1811,1811,,7,7,31,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,24,,24,,6,,6,,17,17,,1,,1,,1,,3,3,,10,10,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,11,11,,32,32,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,14,14,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,2,1,,,0,,,,,
