Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,11,,11,,0,,0,,11,11,,0,,0,,3,,2,2,,4,4,,3,3,3,3,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,17,,17,,4,,4,,13,13,,0,,0,,4,,2,2,,8,8,,4,4,8,4,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,11,,11,,0,,0,,11,11,,0,,0,,3,,2,2,,4,4,,3,3,3,3,,,2,,,,,
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/index.php",12,10,15,4,63,11,49,2,0,,8,625,0,0,625,114,0,0,114,435,0,435,76,0,0,76,4,233,19,0,19,214,0,214,7,7,10,1,35,28,4,0.17,99,86,123,37
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/style/acp_attachments.html",4,4,4,1,21,1,19,0,0,,2,376,330,50,0,51,46,5,0,43,43,0,59,57,2,0,1,28,4,4,0,24,24,0,1,1,1,1,7,7,3,1.37,9,9,9,2
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/style/acp_ban.html",1,1,1,1,6,0,6,0,0,,1,124,96,31,0,25,20,5,0,18,18,0,14,6,8,0,1,21,4,4,0,17,17,0,3,3,3,1,3,3,1,0.78,1,1,1,1
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/style/acp_bbcodes.html",0,0,0,0,0,0,0,0,0,,0,124,124,0,0,22,22,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/style/acp_board.html",0,0,0,0,0,0,0,0,0,,0,49,49,0,0,11,11,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/style/acp_bots.html",0,0,0,0,0,0,0,0,0,,0,102,102,1,0,18,18,0,0,1,1,0,10,10,0,0,1,2,0,0,0,2,2,0,1,1,1,1,1,1,0,10.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/phpbb/phpbb-release-3.0.10/phpBB/adm/style/acp_captcha.html",0,0,0,0,0,0,0,0,0,,0,71,71,1,0,11,11,0,0,1,1,0,13,13,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,13.00,0,0,0,0
