Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2147,,2147,,337,,337,,1481,1481,,335,,335,,1,,116,116,,833,833,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,451,,451,,39,,39,,284,284,,146,,146,,2,,49,49,,155,155,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,50,,50,,3,,3,,47,47,,2,,2,,1,,20,20,,24,24,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,301,,301,,30,,30,,176,176,,97,,97,,1,,46,46,,64,64,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1864,,1864,,293,,293,,1445,1445,,132,,132,,18,,210,210,,683,683,,6,5,7,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,313,,313,,40,,40,,246,246,,30,,30,,2,,42,42,,85,85,,2,2,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,390,,390,,32,,32,,260,260,,112,,112,,1,,66,66,,119,119,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,4,,4,,0,,0,,4,4,,1,,1,,1,,2,2,,2,2,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,3,,2,2,,4,4,,3,3,3,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2183,,2183,,290,,290,,1737,1737,,182,,182,,1,,450,450,,1194,1194,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,145,,145,,11,,11,,115,115,,19,,19,,1,,19,19,,68,68,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,8,,8,,0,,0,,8,8,,0,,0,,1,,4,4,,4,4,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,235,,235,,40,,40,,179,179,,16,,16,,1,,36,36,,102,102,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,8,,8,,0,,0,,7,7,,1,,1,,2,,1,1,,4,4,,2,2,3,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,103,,103,,14,,14,,84,84,,5,,5,,1,,14,14,,44,44,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,8,,8,,0,,0,,8,8,,0,,0,,1,,3,3,,2,2,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,,1,1,,3,3,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,162,,162,,17,,17,,115,115,,31,,31,,1,,23,23,,41,41,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,66,,66,,13,,13,,48,48,,5,,5,,1,,8,8,,28,28,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,64,,64,,4,,4,,54,54,,6,,6,,1,,14,14,,25,25,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,24,,24,,0,,0,,20,20,,4,,4,,2,,4,4,,11,11,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1398,,1398,,87,,87,,890,890,,446,,446,,1,,172,172,,345,345,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,40,,40,,0,,0,,34,34,,6,,6,,36,,12,12,,16,16,,7,7,7,5,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,35,35,,133,133,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,3,,3,,0,,0,,2,2,,1,,1,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
