Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,79,,79,,14,,14,,52,52,,15,,15,,1,,7,7,,22,22,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,2,,1,1,,2,2,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,65,,65,,5,,5,,58,58,,2,,2,,1,,11,11,,20,20,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,4,,4,,0,,0,,3,3,,1,,1,,2,,1,1,,2,2,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,138,,138,,0,,0,,138,138,,0,,0,,768,,592,592,,2071,2071,,15,15,23,1,,,2,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_100)",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,20,,7,7,,30,30,,7,7,14,3,,,2,,,,,
Unnamed Function,"(unnamed_function_101)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,6,,4,4,,12,12,,8,8,12,1,,,3,,,,,
Unnamed Function,"(unnamed_function_102)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,3,,1,1,,4,4,,3,3,4,1,,,2,,,,,
