Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,2,2,3,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,365,,365,,16,,16,,327,327,,74,,74,,1,,57,57,,192,192,,1,1,6,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,9,,9,,1,,1,,8,8,,0,,0,,2,,2,2,,3,3,,3,3,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,2,2,,3,3,,3,3,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,20,20,,67,67,,2,2,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,4,,751,751,,1699,1699,,7,7,22,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,140,,140,,28,,28,,98,98,,14,,14,,2,,20,20,,67,67,,2,2,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1,,1,,0,,0,,1,1,,1,,1,,1,,57,57,,192,192,,1,1,6,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,8558,,8558,,1607,,1607,,5876,5876,,1089,,1089,,4096,,755,755,,2776,2776,,16,16,22,1,,,1,,,,,
