Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"$",,,,,,,,,,,,10,,10,,3,,3,,6,6,,1,,1,,1,,2,2,,4,4,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,7,,2,2,,17,17,,7,7,14,6,,,5,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,20,,6,6,,43,43,,20,19,27,8,,,8,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,4,4,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,2,2,,14,14,,2,2,7,1,,,0,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,2,2,,7,7,,1,1,4,1,,,0,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,4,,2,2,,7,7,,4,4,5,3,,,2,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,2,2,,1,1,2,1,,,0,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,2,2,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,2,2,,4,4,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,1,1,,9,9,,1,1,4,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,,3,3,,4,4,,2,2,8,1,,,1,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,4,4,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,8,8,,1,1,5,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,,4,4,,9,9,,1,1,4,1,,,0,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,6,6,,1,1,3,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,7,,2,2,,21,21,,7,7,8,7,,,4,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,4,4,,1,1,2,1,,,0,,,,,
Function,"$",,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,,2,2,,15,15,,2,2,3,1,,,1,,,,,
Function,"$",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$",,,,,,,,,,,,6,,6,,0,,0,,6,6,,0,,0,,2,,13,13,,38,38,,4,4,4,1,,,1,,,,,
Function,"$data_callback",,,,,,,,,,,,4,,4,,0,,0,,3,3,,1,,1,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$n",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,2,2,,1,1,1,1,,,0,,,,,
Function,"$tag",,,,,,,,,,,,13,,13,,3,,3,,10,10,,0,,0,,4,,2,2,,5,5,,3,3,3,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1092,,1092,,201,,201,,753,753,,146,,146,,3,,108,108,,400,400,,3,3,3,1,,,2,,,,,
