Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,30,,30,,8,,8,,21,21,,1,,1,,1,,3,3,,11,11,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,8996,,8996,,1367,,1367,,6221,6221,,1415,,1415,,384,,803,803,,2803,2803,,10,10,18,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,6,,6,,0,,0,,6,6,,0,,0,,1,,3,3,,4,4,,2,2,4,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2149,,2149,,197,,197,,1674,1674,,318,,318,,3,,197,197,,798,798,,3,3,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,117,117,,456,456,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,786,,786,,124,,124,,541,541,,170,,170,,2,,124,124,,270,270,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,866,,866,,128,,128,,639,639,,103,,103,,1,,123,123,,287,287,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,24,,24,,7,,7,,17,17,,0,,0,,5,,2,2,,13,13,,4,4,6,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,72,,72,,19,,19,,44,44,,9,,9,,1,,8,8,,18,18,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,1362,,1362,,231,,231,,528,528,,625,,625,,1,,132,132,,299,299,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,47,47,,166,166,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,11,,11,,1,,1,,10,10,,0,,0,,2,,1,1,,3,3,,4,4,4,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,12,,12,,0,,0,,12,12,,0,,0,,1,,4,4,,3,3,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,46,46,,278,278,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,36,36,,191,191,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,67,,67,,13,,13,,51,51,,3,,3,,1,,13,13,,29,29,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,529,,529,,85,,85,,419,419,,31,,31,,3,,66,66,,222,222,,3,3,3,3,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,3154,,3154,,350,,350,,2214,2214,,632,,632,,3,,263,263,,691,691,,3,3,4,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,296,,296,,43,,43,,138,138,,115,,115,,1,,30,30,,60,60,,1,1,3,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,315,,315,,39,,39,,254,254,,22,,22,,8,,47,47,,99,99,,5,5,6,1,,,1,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,14,,14,,1,,1,,12,12,,1,,1,,1,,3,3,,5,5,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,9,,9,,0,,0,,9,9,,0,,0,,1,,2,2,,2,2,,3,3,3,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,1,1,,2,2,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,12,,12,,0,,0,,12,12,,0,,0,,2,,4,4,,5,5,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,19,,19,,1,,1,,17,17,,5,,5,,3,,5,5,,8,8,,3,3,5,1,,,2,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,3,3,,3,3,3,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,5,,5,,1,,1,,4,4,,0,,0,,2,,1,1,,3,3,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,2,,1,1,,2,2,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,218,,218,,29,,29,,124,124,,67,,67,,1,,27,27,,54,54,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_10)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_100)",,,,,,,,,,,,8,,8,,0,,0,,8,8,,0,,0,,3,,1,1,,6,6,,4,4,4,1,,,2,,,,,
Unnamed Function,"(unnamed_function_100)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,71,71,,424,424,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_100)",,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,1,,1,1,,1,1,,2,2,2,1,,,0,,,,,
Unnamed Function,"(unnamed_function_101)",,,,,,,,,,,,111,,111,,23,,23,,59,59,,29,,29,,2,,5,5,,44,44,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_101)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,4,4,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_101)",,,,,,,,,,,,17,,17,,0,,0,,15,15,,2,,2,,1,,2,2,,6,6,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_102)",,,,,,,,,,,,45,,45,,8,,8,,26,26,,11,,11,,3,,3,3,,18,18,,4,4,7,1,,,1,,,,,
Unnamed Function,"(unnamed_function_102)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,1,1,,3,3,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_102)",,,,,,,,,,,,15,,15,,0,,0,,13,13,,2,,2,,3,,1,1,,5,5,,4,4,5,3,,,2,,,,,
Unnamed Function,"(unnamed_function_103)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_103)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_103)",,,,,,,,,,,,347,,347,,47,,47,,264,264,,38,,38,,1,,35,35,,127,127,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_104)",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
