Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"$",,,,,,,,,,,,10,,10,,0,,0,,10,10,,0,,0,,4,,1,1,,7,7,,4,4,4,1,,,2,,,,,
Function,"$$",,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$A",,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,4,,2,2,,7,7,,4,4,5,3,,,1,,,,,
Function,"$H",,,,,,,,,,,,2,,2,,0,,0,,2,2,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$R",,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Function,"$w",,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,,1,1,,4,4,,3,3,3,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,183,,183,,23,,23,,158,158,,6,,6,,1,,44,44,,82,82,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,37,37,,143,143,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,75,75,,180,180,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,268,,268,,49,,49,,206,206,,13,,13,,1,,37,37,,143,143,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,1,1,,3,3,,2,2,2,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,98,,98,,12,,12,,61,61,,25,,25,,1,,21,21,,45,45,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,10,10,,22,22,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,3,,3,,0,,0,,3,3,,1,,1,,1,,2,2,,3,3,,1,1,1,1,,,0,,,,,
