Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"$f",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,13,,9,9,,29,29,,12,12,13,9,,,3,,,,,
Function,"$n",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,2,2,,2,2,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,9,,4,4,,14,14,,5,5,6,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,10,,10,,2,,2,,6,6,,2,,2,,1,,3,3,,3,3,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,953,,953,,103,,103,,801,801,,51,,51,,1,,176,176,,405,405,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,7,7,,35,35,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,806,,806,,44,,44,,580,580,,182,,182,,1,,84,84,,247,247,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,9,9,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,14,14,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,279,,279,,29,,29,,211,211,,39,,39,,1,,33,33,,110,110,,3,3,4,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,75,,75,,13,,13,,58,58,,4,,4,,1,,10,10,,32,32,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,10,10,,27,27,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,122,,122,,12,,12,,105,105,,5,,5,,1,,11,11,,40,40,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,,1,1,,1,1,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,6,6,,12,12,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,9,,4,4,,14,14,,5,5,6,1,,,2,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,822,822,,1613,1613,,8,8,31,1,,,1,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,3,3,,3,3,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,20,,20,,0,,0,,20,20,,0,,0,,1,,1,1,,2,2,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,144,,144,,3,,3,,108,108,,33,,33,,1,,19,19,,42,42,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,75,,75,,6,,6,,40,40,,31,,31,,1,,6,6,,10,10,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,258,,258,,49,,49,,194,194,,15,,15,,1,,28,28,,105,105,,1,1,1,1,,,0,,,,,
Unnamed Function,"(unnamed_function_1)",,,,,,,,,,,,223,,223,,49,,49,,163,163,,11,,11,,1,,19,19,,107,107,,1,1,1,1,,,0,,,,,
